date,Iprec
140719880100,0.25
140719881300,2.95
150719880100,1.04167
150719881300,1.29167
160719880100,0.13333
160719881300,0
170719880100,0.525
170719881300,0.075
180719880100,0.11667
180719881300,0.04167
190719880100,0
190719881300,0
200719880100,0
200719881300,0
210719880100,0
210719881300,0
220719880100,0.45833
220719881300,0.06667
230719880100,0
230719881300,0
240719880100,0
240719881300,0
250719880100,0.625
250719881300,0
260719880100,0
260719881300,0
270719880100,0
270719881300,0.10833
280719880100,0.35833
280719881300,0
290719880100,0
290719881300,0
300719880100,2.23333
300719881300,0
310719880100,0
310719881300,0
10819880100,0
10819881300,0
20819880100,0.51667
20819881300,0.13333
30819880100,0.26667
30819881300,0.325
40819880100,0.55833
40819881300,0.09167
50819880100,0
50819881300,0
60819880100,0
60819881300,0
70819880100,0
70819881300,0
80819880100,0
80819881300,0.625
90819880100,0.20833
90819881300,0.01667
100819880100,0
100819881300,0
110819880100,0
110819881300,0
120819880100,0.04167
120819881300,0.00833
130819880100,0
130819881300,0
140819880100,0
140819881300,0
150819880100,0
150819881300,0
160819880100,0.33333
160819881300,0.46667
170819880100,0.775
170819881300,0
180819880100,0
180819881300,0
190819880100,0
190819881300,0
200819880100,0
200819881300,0
210819880100,1.64167
210819881300,0.13333
220819880100,0.56667
220819881300,0.33333
230819880100,0.1
230819881300,0.45
240819880100,0.075
240819881300,0
250819880100,0.58333
250819881300,0.81667
260819880100,0.63333
260819881300,0.03333
270819880100,0.24167
270819881300,1.48333
280819880100,0.11667
280819881300,0
290819880100,0
290819881300,0.69167
300819880100,1.19167
300819881300,0
310819880100,0
310819881300,0
10919880100,0.05
